benchmark,language,run,time_ms
ackermann,lumen,1,842
ackermann,lumen,2,814
ackermann,lumen,3,821
call_overhead,lumen,1,1574
call_overhead,lumen,2,1529
call_overhead,lumen,3,1559
mandelbrot,lumen,1,26
mandelbrot,lumen,2,27
mandelbrot,lumen,3,25
int_fib,lumen,1,61
int_fib,lumen,2,60
int_fib,lumen,3,62
int_primes,lumen,1,41
int_primes,lumen,2,43
int_primes,lumen,3,41
int_sum_loop,lumen,1,391
int_sum_loop,lumen,2,390
int_sum_loop,lumen,3,392
list_sum,lumen,1,7
list_sum,lumen,2,7
list_sum,lumen,3,8
string_concat,lumen,1,6
string_concat,lumen,2,6
string_concat,lumen,3,6
