benchmark,language,run,time_ms
fibonacci,c,1,16
fibonacci,c,2,16
fibonacci,c,3,17
fibonacci,go,1,43
fibonacci,go,2,43
fibonacci,go,3,42
fibonacci,zig,1,26
fibonacci,zig,2,26
fibonacci,zig,3,26
fibonacci,python,1,824
fibonacci,python,2,677
fibonacci,python,3,686
fibonacci,typescript,1,2303
fibonacci,typescript,2,917
fibonacci,typescript,3,961
fibonacci,lumen,1,ERROR
fibonacci,lumen,2,ERROR
fibonacci,lumen,3,ERROR
json_parse,c,1,5
json_parse,c,2,6
json_parse,c,3,5
json_parse,go,1,17
json_parse,go,2,17
json_parse,go,3,17
json_parse,zig,1,18
json_parse,zig,2,11
json_parse,zig,3,7
json_parse,python,1,146
json_parse,python,2,47
json_parse,python,3,27
json_parse,typescript,1,1632
json_parse,typescript,2,904
json_parse,typescript,3,836
json_parse,lumen,1,962
json_parse,lumen,2,1006
json_parse,lumen,3,977
string_ops,c,1,3
string_ops,c,2,3
string_ops,c,3,3
string_ops,go,1,4
string_ops,go,2,4
string_ops,go,3,4
string_ops,zig,1,3
string_ops,zig,2,2
string_ops,zig,3,3
string_ops,python,1,14
string_ops,python,2,15
string_ops,python,3,15
string_ops,typescript,1,1000
string_ops,typescript,2,1125
string_ops,typescript,3,2705
string_ops,lumen,1,1437
string_ops,lumen,2,1448
string_ops,lumen,3,941
tree,c,1,24
tree,c,2,24
tree,c,3,26
tree,go,1,70
tree,go,2,49
tree,go,3,37
tree,zig,1,13
tree,zig,2,13
tree,zig,3,13
tree,python,1,741
tree,python,2,960
tree,python,3,2135
tree,typescript,1,1991
tree,typescript,2,932
tree,typescript,3,1434
tree,lumen,1,6
tree,lumen,2,5
tree,lumen,3,5
sort,c,1,57
sort,c,2,58
sort,c,3,59
sort,go,1,66
sort,go,2,63
sort,go,3,65
sort,zig,1,55
sort,zig,2,56
sort,zig,3,56
sort,python,1,538
sort,python,2,551
sort,python,3,569
sort,typescript,1,1401
sort,typescript,2,2079
sort,typescript,3,1143
sort,lumen,1,ERROR
sort,lumen,2,ERROR
sort,lumen,3,ERROR
