benchmark,language,run,time_ms
fibonacci,c,1,17
fibonacci,c,2,17
fibonacci,c,3,17
fibonacci,c,4,16
fibonacci,c,5,17
fibonacci,go,1,45
fibonacci,go,2,44
fibonacci,go,3,44
fibonacci,go,4,44
fibonacci,go,5,43
fibonacci,rust,1,25
fibonacci,rust,2,25
fibonacci,rust,3,25
fibonacci,rust,4,25
fibonacci,rust,5,25
fibonacci,zig,1,27
fibonacci,zig,2,26
fibonacci,zig,3,27
fibonacci,zig,4,26
fibonacci,zig,5,28
fibonacci,python,1,732
fibonacci,python,2,733
fibonacci,python,3,735
fibonacci,python,4,736
fibonacci,python,5,745
fibonacci,typescript,1,1083
fibonacci,typescript,2,1659
fibonacci,typescript,3,1451
fibonacci,typescript,4,2100
fibonacci,typescript,5,1336
fibonacci,lumen,1,67
fibonacci,lumen,2,64
fibonacci,lumen,3,65
fibonacci,lumen,4,64
fibonacci,lumen,5,65
json_parse,c,1,4
json_parse,c,2,4
json_parse,c,3,4
json_parse,c,4,4
json_parse,c,5,3
json_parse,go,1,18
json_parse,go,2,15
json_parse,go,3,15
json_parse,go,4,16
json_parse,go,5,16
json_parse,rust,1,5
json_parse,rust,2,5
json_parse,rust,3,5
json_parse,rust,4,5
json_parse,rust,5,5
json_parse,zig,1,2
json_parse,zig,2,2
json_parse,zig,3,3
json_parse,zig,4,2
json_parse,zig,5,3
json_parse,python,1,36
json_parse,python,2,25
json_parse,python,3,26
json_parse,python,4,25
json_parse,python,5,26
json_parse,typescript,1,944
json_parse,typescript,2,898
json_parse,typescript,3,1100
json_parse,typescript,4,1954
json_parse,typescript,5,1029
json_parse,lumen,1,79
json_parse,lumen,2,75
json_parse,lumen,3,73
json_parse,lumen,4,74
json_parse,lumen,5,74
string_ops,c,1,3
string_ops,c,2,3
string_ops,c,3,3
string_ops,c,4,3
string_ops,c,5,3
string_ops,go,1,4
string_ops,go,2,4
string_ops,go,3,4
string_ops,go,4,4
string_ops,go,5,4
string_ops,rust,1,3
string_ops,rust,2,3
string_ops,rust,3,3
string_ops,rust,4,3
string_ops,rust,5,3
string_ops,zig,1,16
string_ops,zig,2,18
string_ops,zig,3,9
string_ops,zig,4,17
string_ops,zig,5,14
string_ops,python,1,41
string_ops,python,2,63
string_ops,python,3,66
string_ops,python,4,70
string_ops,python,5,74
string_ops,typescript,1,2556
string_ops,typescript,2,987
string_ops,typescript,3,899
string_ops,typescript,4,941
string_ops,typescript,5,1174
string_ops,lumen,1,135
string_ops,lumen,2,134
string_ops,lumen,3,133
string_ops,lumen,4,133
string_ops,lumen,5,134
tree,c,1,23
tree,c,2,23
tree,c,3,23
tree,c,4,22
tree,c,5,23
tree,go,1,25
tree,go,2,26
tree,go,3,30
tree,go,4,28
tree,go,5,28
tree,rust,1,26
tree,rust,2,28
tree,rust,3,27
tree,rust,4,26
tree,rust,5,28
tree,zig,1,12
tree,zig,2,14
tree,zig,3,12
tree,zig,4,12
tree,zig,5,12
tree,python,1,461
tree,python,2,455
tree,python,3,458
tree,python,4,518
tree,python,5,532
tree,typescript,1,996
tree,typescript,2,1451
tree,typescript,3,1594
tree,typescript,4,2216
tree,typescript,5,1759
tree,lumen,1,827
tree,lumen,2,582
tree,lumen,3,652
tree,lumen,4,637
tree,lumen,5,542
sort,c,1,65
sort,c,2,63
sort,c,3,63
sort,c,4,62
sort,c,5,63
sort,go,1,75
sort,go,2,73
sort,go,3,75
sort,go,4,75
sort,go,5,76
sort,rust,1,28
sort,rust,2,28
sort,rust,3,27
sort,rust,4,28
sort,rust,5,28
sort,zig,1,101
sort,zig,2,100
sort,zig,3,100
sort,zig,4,100
sort,zig,5,99
sort,python,1,597
sort,python,2,530
sort,python,3,524
sort,python,4,556
sort,python,5,575
sort,typescript,1,1574
sort,typescript,2,1171
sort,typescript,3,1133
sort,typescript,4,1055
sort,typescript,5,1034
sort,lumen,1,406
sort,lumen,2,393
sort,lumen,3,404
sort,lumen,4,396
sort,lumen,5,403
